Week 1 8/23
Hazleton,Berwick,2
Upper Darby,Radnor,1
Catheral Prep,McDowell,1
Lebanon,Northern Lebanon,1
Penn Manor,Cedar Crest,2
Council Rock South,Bensalem,1
Reading,Exeter Township,2
Williamsport,Pittston,2
Allentown Central Catholic,Emmaus,1
Pleasant Valley,East Stroudsburg North,2
Central Catholic,Norwin,1
Harriton,Haverford,2

Week 7 10/5
Erie,Canisius,2
Coestoga,Lower Merion,1
Father Judge,La Salle College,2
Taylor Allderdice,Linsly,2
Louis E. Dieruff,Pocono Mountain West,2
Biglerville,York County Tech,1
Pennsbury,Harry S. Truman,1

Week 7 10/6
Spring Grove,Central York,2
Lansdale Catholic,Cardinal O'Hara,1

Week 7 10/7
Pequea Valley,Annville Cleona,2

Week 8 10/10
Vincentian Academy,Carrick,2
Frankford,Boys Latin Charter,1
Abraham Lincoln,George Washington,1
Palmyra,Milton Hershey,2
Thomas A. Edison,Samuel Fels,2
Brashear,Taylor Allderdice,2

Week 8 10/11
Northeast,Central,1
Stroudsburg,Parkland,2
Norrsitown,Methacton,2
Cheltenham,Hatboro-Horsham,1
Delaware Valley,Williamsport,1
Scranton,Hazleton,1
Seneca Valley,Woodland Hills,2
Downingtown West,East,1
West Toronto Prep,McDowell,2
Whitehall,Nazareth,2
New Oxford,Red Lion,1
St. Josephs Prep,Archbishop Wood,1
William Tennent,Pennridge,1
Mt. Lebanon,Pine-Richland,2
Conestoga,Springfield,1
Archbishop Ryan,La Salle College,2
Dover, Mifflin County,2
Upper Darby,Garnet Valley,2
York County Tech,Bermudian Springs,2
Council Rock North,Pennsbury,2
West Philadelphia,Olney,2
Roman Catholic,Father Judge,1
William Allen,Northampton,2
Cumberland Valley,Altoona,1
Central Bucks West,North Penn,1
Norwin,Canon-McMillan,2
J.P. McCaskey,Hempfield,2
Elizabethtown,Penn Manor,2
Bensalem,Neshaminy,2
North Allegheny,Hempfield Area,1
Avon Grove,Kennett,2
Conrad Weiser,Reading,1
Benjamin Franklin,South Philadelphia/Furness,1
Central Dauphin,State College,1
Pocono Mountain West,Pleasant Valley,1
Kensington,New Hope-Solebury,2
Ephrata,Lebanon,1
Abington,Harry S. Truman,1
