Date,Visitor/Neutral,PTS,Home/Neutral,PTS
Fri Sep 4 2020,Milwaukee Bucks,100,Miami Heat,115
Fri Sep 4 2020,Houston Rockets,112,Los Angeles Lakers,97
Sat Sep 5 2020,Toronto Raptors,100,Boston Celtics,93
Sat Sep 5 2020,Denver Nuggets,110,Los Angeles Clippers,101
Sun Sep 6 2020,Milwaukee Bucks,118,Miami Heat,115
Sun Sep 6 2020,Houston Rockets,109,Los Angeles Lakers,117
Mon Sep 7 2020,Boston Celtics,111,Toronto Raptors,89
Mon Sep 7 2020,Los Angeles Clippers,113,Denver Nuggets,107
Tue Sep 8 2020,Miami Heat,103,Milwaukee Bucks,94
Tue Sep 8 2020,Los Angeles Lakers,112,Houston Rockets,102
Wed Sep 9 2020,Toronto Raptors,125,Boston Celtics,122
Wed Sep 9 2020,Los Angeles Clippers,96,Denver Nuggets,85
Thu Sep 10 2020,Los Angeles Lakers,110,Houston Rockets,100
Fri Sep 11 2020,Denver Nuggets,111,Los Angeles Clippers,105
Fri Sep 11 2020,Boston Celtics,92,Toronto Raptors,87
Sat Sep 12 2020,Houston Rockets,96,Los Angeles Lakers,119
Sun Sep 13 2020,Los Angeles Clippers,98,Denver Nuggets,111
